task_elapsed_sec,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad
17.200000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
17.400000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
17.600000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
17.800000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
18.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
18.200000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
18.400000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
18.600000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
18.800000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
19.000000,-0.226892803,1.291543646,1.343903524,0.296705973,0.383972435,-0.226892803,0.122173048
19.200000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
19.400000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
19.600000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
19.800000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
